Name,Age,NetWorth,,,,,,
Elon Musk,50,225500000000,,,,,,
Jeff Bezos,58,147400000000,,,,,,
Bernard Arnault & family,73,154900000000,,,,,,
Bill Gates,66,127700000000,,,,,,
Warren Buffett,91,113100000000,,,,,,
Larry Page,49,98100000000,,,,,,
Sergey Brin,48,94300000000,,,,,,
Larry Ellison,77,98600000000,,,,,,
Steve Ballmer,66,89300000000,,,,,,
Mukesh Ambani,65,98000000000,,,,,,
Gautam Adani & family,59,99100000000,,,,,,
Michael Bloomberg,80,82000000000,,,,,,
Carlos Slim Helu & family,82,90900000000,,,,,,
Francoise Bettencourt Meyers & family,68,69800000000,,,,,,
Mark Zuckerberg,38,67700000000,,,,,,
Jim Walton,73,60100000000,,,,,,
Zhong Shanshan,67,66800000000,,,,,,
Alice Walton,72,59200000000,,,,,,
Rob Walton,77,59000000000,,,,,,
Changpeng Zhao,44,17400000000,,,,,,
Charles Koch,86,63400000000,,,,,,
Julia Koch & family,60,63400000000,,,,,,
Amancio Ortega,86,59400000000,,,,,,
Amancio Ortega,86,59400000000,,,,,,
Zhang Yiming,38,49500000000,,,,,,
David Thomson & family,64,47400000000,,,,,,
Phil Knight & family,84,46000000000,,,,,,
Dieter Schwarz,82,37000000000,,,,,,
Robin Zeng,53,36700000000,,,,,,
MacKenzie Scott,52,36000000000,,,,,,
Rodolphe Saadé & family,52,41400000000,,,,,,
François Pinault & family,85,36700000000,,,,,,
Klaus-Michael Kuehne,84,40100000000,,,,,,
Ma Huateng,50,38300000000,,,,,,
Giovanni Ferrero,57,35400000000,,,,,,
Li Ka-shing,93,37200000000,,,,,,
Stephen Schwarzman,75,34900000000,,,,,,
Lee Shau Kee,94,33600000000,,,,,,
Len Blavatnik,65,31500000000,,,,,,
Jacqueline Mars,82,32600000000,,,,,,
John Mars,86,32600000000,,,,,,
Alain Wertheimer,73,29900000000,,,,,,
Gerard Wertheimer,71,29900000000,,,,,,
German Larrea Mota Velasco & family,68,29000000000,,,,,,
Gina Rinehart,68,29600000000,,,,,,
Shiv Nadar,76,24700000000,,,,,,
Jim Simons,84,28600000000,,,,,,
He Xiangjian,79,25200000000,,,,,,
Miriam Adelson,76,26900000000,,,,,,
Dietrich Mateschitz,78,26000000000,,,,,,
Leonardo Del Vecchio & family,87,26300000000,,,,,,
Ken Griffin,53,26400000000,,,,,,
Tadashi Yanai & family,73,24800000000,,,,,,
William Lei Ding,50,31500000000,,,,,,
Susanne Klatten,60,25500000000,,,,,,
Cyrus Poonawalla,81,21500000000,,,,,,
Wang Wei,51,22500000000,,,,,,
Qin Yinglin,57,20800000000,,,,,,
Sam Bankman-Fried,30,21000000000,,,,,,
Takemitsu Takizaki,76,21900000000,,,,,,
Li Shufu,59,30800000000,,,,,,
Emmanuel Besnier,51,22600000000,,,,,,
R. Budi Hartono,81,22500000000,,,,,,
Leonard Lauder,89,22000000000,,,,,,
Guillaume Pousaz,40,23000000000,,,,,,
Iris Fontbona & family,79,22700000000,,,,,,
Jack Ma,57,23500000000,,,,,,
Michael Hartono,82,21600000000,,,,,,
Eric Schmidt,67,19900000000,,,,,,
Ray Dalio,72,22000000000,,,,,,
Daniel Gilbert,60,18700000000,,,,,,
"Thomas Frist, Jr. & family",83,17700000000,,,,,,
Masayoshi Son,64,22100000000,,,,,,
Abigail Johnson,60,20900000000,,,,,,
Rupert Murdoch & family,91,18900000000,,,,,,
Stefan Quandt,56,21900000000,,,,,,
Jensen Huang,59,17200000000,,,,,,
Huang Shilin,55,16600000000,,,,,,
Thomas Peterffy,77,19900000000,,,,,,
Radhakishan Damani,67,18300000000,,,,,,
Pang Kang,66,16700000000,,,,,,
Wang Chuanfu,56,24000000000,,,,,,
Reinhold Wuerth & family,87,16300000000,,,,,,
"Theo Albrecht, Jr. & family",71,18500000000,,,,,,
Yang Huiyan & family,40,16600000000,,,,,,
Vladimir Lisin,66,25300000000,,,,,,
Fan Hongwei & family,55,18100000000,,,,,,
Lakshmi Mittal,71,18000000000,,,,,,
Andrew Forrest,60,19500000000,,,,,,
Jiang Rensheng & family,68,12300000000,,,,,,
Savitri Jindal & family,72,14700000000,,,,,,
Wang Wenyin,54,15300000000,,,,,,
Li Xiting,71,16500000000,,,,,,
Stefan Persson,74,16900000000,,,,,,
Steve Cohen,65,17400000000,,,,,,
Vladimir Potanin,61,29100000000,,,,,,
Harold Hamm & family,76,20400000000,,,,,,
Sun Piaoyang,63,14200000000,,,,,,
Luo Liguo & family,66,11000000000,,,,,,
Peter Woo,75,17600000000,,,,,,
Gianluigi & Rafaela Aponte,81,18000000000,,,,,,
David Tepper,64,16700000000,,,,,,
Renata Kellnerova & family,54,16400000000,,,,,,
"John Menard, Jr.",82,15400000000,,,,,,
Kumar Birla,54,14300000000,,,,,,
Carl Icahn,86,15800000000,,,,,,
Lukas Walton,35,15100000000,,,,,,
Laurene Powell Jobs & family,58,15500000000,,,,,,
James Ratcliffe,69,15900000000,,,,,,
Donald Bren,90,16200000000,,,,,,
Xu Hang,56,15100000000,,,,,,
Lu Xiangyang,59,19100000000,,,,,,
Dilip Shanghvi,66,14300000000,,,,,,
Wei Jianjun & family,58,16500000000,,,,,,
Jorge Paulo Lemann & family,82,14900000000,,,,,,
Eyal Ofer,71,14600000000,,,,,,
Mike Cannon-Brookes,42,11500000000,,,,,,
Wu Yajun,58,15400000000,,,,,,
Charlene de Carvalho-Heineken & family,67,16000000000,,,,,,
Michael Platt,54,15200000000,,,,,,
Pavel Durov,37,15100000000,,,,,,
Scott Farquhar,42,11400000000,,,,,,
Pallonji Mistry,93,13800000000,,,,,,
Dang Yanbao,49,12600000000,,,,,,
Robert Pera,44,15300000000,,,,,,
Donald Newhouse,92,13300000000,,,,,,
Uday Kotak,63,14800000000,,,,,,
Aliko Dangote,65,14200000000,,,,,,
Leonid Mikhelson,66,22700000000,,,,,,
Sunil Mittal & family,64,13700000000,,,,,,
Liu Hanyuan,58,12800000000,,,,,,
Joseph Lau,70,13500000000,,,,,,
Anders Holch Povlsen,49,12800000000,,,,,,
Dhanin Chearavanont,83,12400000000,,,,,,
Gong Hongjia & family,57,10600000000,,,,,,
Liu Yongxing,74,12600000000,,,,,,
Alexey Mordashov,56,19900000000,,,,,,
Wang Jianlin,67,12600000000,,,,,,
David Duffield,81,9700000000,,,,,,
Li Zhenguo & family,54,12000000000,,,,,,
Harry Triguboff,89,11700000000,,,,,,
Zhang Zhidong,50,12500000000,,,,,,
Chen Bang,56,13500000000,,,,,,
John Doerr,70,11000000000,,,,,,
Kwong Siu-hing,92,13100000000,,,,,,
Pei Zhenhua,63,10100000000,,,,,,
Ricardo Salinas Pliego & family,66,12000000000,,,,,,
Jim Pattison,93,12200000000,,,,,,
Charles Schwab,84,11000000000,,,,,,
Goh Cheng Liang,94,11500000000,,,,,,
Lin Jianhua & family,59,10400000000,,,,,,
Charoen Sirivadhanabhakdi,78,12400000000,,,,,,
Jeff Yass,63,12000000000,,,,,,
John Fredriksen,77,12400000000,,,,,,
Andreas Struengmann & family,72,13300000000,,,,,,
Thomas Struengmann & family,72,13300000000,,,,,,
Mikhail Fridman,58,13000000000,,,,,,
Sarath Ratanavadi,56,11700000000,,,,,,
Robert Kuok,98,11100000000,,,,,,
Lei Jun,52,10300000000,,,,,,
Zhang Congyuan,74,11700000000,,,,,,
Lui Che Woo,93,11700000000,,,,,,
Brian Chesky,40,9200000000,,,,,,
Israel Englander,73,11500000000,,,,,,
Dustin Moskovitz,38,10800000000,,,,,,
Alisher Usmanov,68,15000000000,,,,,,
Jay Chaudhry,62,8500000000,,,,,,
Anthony Pratt,62,11600000000,,,,,,
Colin Zheng Huang,42,17300000000,,,,,,
Jin Baofang,69,11000000000,,,,,,
Pierre Omidyar,54,10200000000,,,,,,
Gennady Timchenko,69,19200000000,,,,,,
Carl Cook,59,10700000000,,,,,,
Andrey Melnichenko,50,24300000000,,,,,,
Xing Wang,43,14400000000,,,,,,
Philip Anschutz,82,10800000000,,,,,,
David Cheriton,71,9800000000,,,,,,
Alexander Otto,54,10100000000,,,,,,
Diane Hendricks,75,12400000000,,,,,,
Stanley Kroenke,74,10700000000,,,,,,
Jerry Jones,79,12600000000,,,,,,
Quek Leng Chan,80,10200000000,,,,,,
Eduardo Saverin,40,10600000000,,,,,,
Vagit Alekperov,71,21000000000,,,,,,
Richard Liu,48,12100000000,,,,,,
Idan Ofer,66,10200000000,,,,,,
Melker Schorling & family,75,9900000000,,,,,,
"Chase Coleman, III.",46,10300000000,,,,,,
Shuirong Li,65,10200000000,,,,,,
Stefano Pessina,80,9700000000,,,,,,
Mikhail Prokhorov,57,11200000000,,,,,,
Marcel Herrmann Telles,72,10000000000,,,,,,
Leon Black,70,9500000000,,,,,,
Joe Gebbia,40,8000000000,,,,,,
David Geffen,79,9700000000,,,,,,
Yu Renrong,56,6900000000,,,,,,
Andrew Beal,69,9600000000,,,,,,
George Kaiser,79,10500000000,,,,,,
Qi Shi & family,52,10400000000,,,,,,
Luis Carlos Sarmiento,89,9600000000,,,,,,
Andreas von Bechtolsheim & family,66,8900000000,,,,,,
Jan Koum,46,9800000000,,,,,,
Jorge Moll Filho & family,77,6900000000,,,,,,
Azim Premji,76,9100000000,,,,,,
Finn Rausing,67,10000000000,,,,,,
Jorn Rausing,62,10000000000,,,,,,
Kirsten Rausing,69,10000000000,,,,,,
Wang Laisheng,57,8700000000,,,,,,
John Collison,31,9500000000,,,,,,
Patrick Collison,33,9500000000,,,,,,
Gordon Moore,93,9200000000,,,,,,
Wang Laichun,54,8400000000,,,,,,
Graeme Hart,66,9300000000,,,,,,
Zheng Shuliang & family,76,9200000000,,,,,,
Cao Renxian,53,5700000000,,,,,,
Nathan Blecharczyk,38,7500000000,,,,,,
James Dyson,75,8000000000,,,,,,
Ivan Glasenberg,65,9000000000,,,,,,
Kim Beom-su,56,7700000000,,,,,,
Jay Y. Lee,53,9100000000,,,,,,
Liu Yonghao & family,70,7700000000,,,,,,
Ann Walton Kroenke,73,8200000000,,,,,,
Li Ping,54,7400000000,,,,,,
Eric Wittouck,75,9000000000,,,,,,
Friedhelm Loh,75,8700000000,,,,,,
Xavier Niel,54,8700000000,,,,,,
Michael Otto,79,8700000000,,,,,,
Johann Rupert & family,72,8500000000,,,,,,
Hui Ka Yan,63,8600000000,,,,,,
Pauline MacMillan Keinath,88,9100000000,,,,,,
"Herbert Kohler, Jr. & family",83,8800000000,,,,,,
Li Ge,55,8300000000,,,,,,
Kushal Pal Singh,90,8300000000,,,,,,
Zong Qinghou,76,8300000000,,,,,,
Cai Kui,59,8800000000,,,,,,
Charles Ergen,69,6500000000,,,,,,
Gao Jifan & family,57,7100000000,,,,,,
Bernard Marcus,93,8200000000,,,,,,
Nicky Oppenheimer & family,76,8700000000,,,,,,
"Ernest Garcia, II.",65,4100000000,,,,,,
Paul Xiaoming Lee & family,64,8000000000,,,,,,
George Soros,91,8600000000,,,,,,
Wang Liping & family,56,7500000000,,,,,,
Ernesto Bertarelli,56,8600000000,,,,,,
Tamara Gustavson,60,7900000000,,,,,,
Carlos Alberto Sicupira & family,74,8300000000,,,,,,
Laurent Dassault,68,8200000000,,,,,,
Thierry Dassault,65,8200000000,,,,,,
Marie-Hélène Habert-Dassault,57,8200000000,,,,,,
Liu Jincheng & family,57,9000000000,,,,,,
Ma Jianrong & family,58,8900000000,,,,,,
Steven Rales,71,8300000000,,,,,,
Joseph Tsai,58,8500000000,,,,,,
Anthony von Mandl,72,9200000000,,,,,,
Carl Bennet,70,7200000000,,,,,,
Robert Kraft,80,8300000000,,,,,,
Chairul Tanjung,59,7100000000,,,,,,
Manuel Villar,72,8400000000,,,,,,
Jean-Michel Besnier,54,7900000000,,,,,,
Marie Besnier Beauvalot,41,7900000000,,,,,,
Gustaf Douglas,84,7200000000,,,,,,
Kjeld Kirk Kristiansen,74,8000000000,,,,,,
Sofie Kirk Kristiansen,46,8000000000,,,,,,
Thomas Kirk Kristiansen,43,8000000000,,,,,,
Stephen Ross,82,8200000000,,,,,,
Agnete Kirk Thinggaard,39,8000000000,,,,,,
Marc Benioff,57,7400000000,,,,,,
Dmitri Bukhman,37,8100000000,,,,,,
Igor Bukhman,40,8100000000,,,,,,
Francis Choi,74,8100000000,,,,,,
Murali Divi & family,71,6600000000,,,,,,
Nancy Walton Laurie,71,7300000000,,,,,,
Georg Schaeffler,57,8900000000,,,,,,
Yao Liangsong,57,7400000000,,,,,,
Zhong Huijuan,61,7200000000,,,,,,
George Roberts,78,8200000000,,,,,,
Michael Rubin,49,8000000000,,,,,,
Patrick Ryan,85,7600000000,,,,,,
Christopher Hohn,55,7900000000,,,,,,
Marijke Mars,57,8200000000,,,,,,
Pamela Mars,61,8200000000,,,,,,
Valerie Mars,63,8200000000,,,,,,
Victoria Mars,65,8200000000,,,,,,
Hasso Plattner & family,78,7500000000,,,,,,
Georg Stumpf,49,7900000000,,,,,,
Christy Walton,73,7200000000,,,,,,
Giorgio Armani,87,7100000000,,,,,,
Gopikishan Damani,64,7100000000,,,,,,
Ding Shizhong & family,51,7200000000,,,,,,
Jim Kennedy,74,7300000000,,,,,,
Liang Wengen,65,7200000000,,,,,,
Blair Parry-Okeden,72,7300000000,,,,,,
Tsai Eng-meng,65,7800000000,,,,,,
Ashwin Dani & family,79,7400000000,,,,,,
Ding Shijia,58,7100000000,,,,,,
Karel Komarek,53,7600000000,,,,,,
Henry Kravis,78,7800000000,,,,,,
Frederik Paulsen,71,7800000000,,,,,,
Nassef Sawiris,61,7800000000,,,,,,
Xu Shihui,64,7700000000,,,,,,
Rahel Blocher,46,7100000000,,,,,,
Shahid Khan,71,7600000000,,,,,,
Magdalena Martullo-Blocher,53,7100000000,,,,,,
Vincent Bolloré & family,70,8000000000,,,,,,
Jeffery Hildebrand,63,9000000000,,,,,,
Michael Kim,58,7700000000,,,,,,
Richard Kinder,77,8000000000,,,,,,
David Shaw,71,7500000000,,,,,,
John Malone,81,7100000000,,,,,,
Vicky Safra,69,7800000000,,,,,,
Tim Sweeney,51,7600000000,,,,,,
Mike Adenuga,69,6900000000,,,,,,
David Green & family,80,6600000000,,,,,,
"Paul Tudor Jones, II.",67,7300000000,,,,,,
Yuri Milner,60,7300000000,,,,,,
Henry Samueli,67,7300000000,,,,,,
Patrick Soon-Shiong,69,6500000000,,,,,,
Antonia Ax:son Johnson & family,78,7400000000,,,,,,
Michael Kadoorie,80,7100000000,,,,,,
Lin Shu-hong,93,6700000000,,,,,,
Niels Peter Louis-Hansen,74,6400000000,,,,,,
Reinhold Schmieding,67,6900000000,,,,,,
Wee Cho Yaw,93,7100000000,,,,,,
Silvio Berlusconi & family,85,6600000000,,,,,,
Arthur Blank,79,6800000000,,,,,,
Qian Dongqi & family,64,6700000000,,,,,,
J. Christopher Reyes,68,7100000000,,,,,,
Jude Reyes,66,7100000000,,,,,,
Nik Storonsky,37,7100000000,,,,,,
Deng Weiming & family,53,6000000000,,,,,,
Judy Faulkner,78,6900000000,,,,,,
Robin Li,53,8200000000,,,,,,
Carrie Perrodo & family,71,8400000000,,,,,,
David Reuben,83,6800000000,,,,,,
Simon Reuben,81,6800000000,,,,,,
Seo Jung-jin,64,6500000000,,,,,,
Roman Abramovich,55,8800000000,,,,,,
Micky Arison,72,6100000000,,,,,,
Edythe Broad & family,86,6900000000,,,,,,
Terry Gou,71,7200000000,,,,,,
Jiang Bin,55,7000000000,,,,,,
Vinod Khosla,67,6200000000,,,,,,
Ralph Lauren,82,6800000000,,,,,,
Douglas Leone,64,6200000000,,,,,,
Lucia Maggi & family,89,7400000000,,,,,,
Horst Julius Pudwill,77,5600000000,,,,,,
Abdulsamad Rabiu,61,7000000000,,,,,,
Harry Stine,80,7200000000,,,,,,
Dennis Washington,87,6600000000,,,,,,
Hasmukh Chudgar & family,88,6700000000,,,,,,
Stanley Druckenmiller,68,6800000000,,,,,,
Jonathan Gray,52,6800000000,,,,,,
Kwon Hyuk-bin,48,6700000000,,,,,,
Frank Lowy,91,6800000000,,,,,,
Ronda Stryker,68,6400000000,,,,,,
Alejandro Bailleres Gual & siblings,61,6500000000,,,,,,
Benu Gopal Bangur,91,6400000000,,,,,,
James Goodnight,79,6300000000,,,,,,
Alain Merieux & family,84,6800000000,,,,,,
Enrique Razon Jr.,62,6300000000,,,,,,
Robert F. Smith,59,6700000000,,,,,,
Brian Armstrong,39,2800000000,,,,,,
Dannine Avara,58,7100000000,,,,,,
Patrick Drahi,58,6800000000,,,,,,
Scott Duncan,39,7100000000,,,,,,
Milane Frantz,52,7100000000,,,,,,
Andreas Halvorsen,61,6600000000,,,,,,
Law Kar Po,73,6600000000,,,,,,
Nicolas Puech,79,6300000000,,,,,,
Viktor Rashnikov,73,10900000000,,,,,,
Dmitry Rybolovlev,55,6600000000,,,,,,
Randa Duncan Williams,60,7100000000,,,,,,
Chen Jianhua,51,6400000000,,,,,,
John Grayken,66,6500000000,,,,,,
Ray Lee Hunt,79,6900000000,,,,,,
Philippe Laffont,54,6500000000,,,,,,
"Henry Nicholas, III.",62,6500000000,,,,,,
Axel Oberwelland & siblings,55,6400000000,,,,,,
Cliff Obrecht,36,6500000000,,,,,,
John Overdeck,52,6500000000,,,,,,
Melanie Perkins,35,6500000000,,,,,,
Ruan Hongliang & family,61,5200000000,,,,,,
David Siegel,60,6500000000,,,,,,
David Velez,40,3800000000,,,,,,
Juergen Blickle,75,6200000000,,,,,,
Cheng Xue,52,5500000000,,,,,,
Jack Dangermond,76,5900000000,,,,,,
Jiang Weiping & family,67,6900000000,,,,,,
Takahisa Takahara,60,6500000000,,,,,,
Orlando Bravo,51,6300000000,,,,,,
Hong Ra-hee,76,6200000000,,,,,,
"Edward Johnson, IV.",57,6200000000,,,,,,
Li Xiaohua & family,60,5900000000,,,,,,
Sri Prakash Lohia,69,6700000000,,,,,,
Miao Hangen,57,5800000000,,,,,,
Bobby Murphy,33,3200000000,,,,,,
Wu Jianshu,58,6100000000,,,,,,
Maria Asuncion Aramburuzabala & family,59,6200000000,,,,,,
Melinda French Gates,57,5800000000,,,,,,
Bruce Kovner,77,6200000000,,,,,,
Pham Nhat Vuong,53,6100000000,,,,,,
Michal Solowow,59,6400000000,,,,,,
Leonard Stern,84,6200000000,,,,,,
Stef Wertheimer & family,95,6200000000,,,,,,
Rocco Commisso,72,5400000000,,,,,,
Jack Dorsey,45,5300000000,,,,,,
Lin Li,59,5200000000,,,,,,
George Lucas,78,5500000000,,,,,,
Evan Spiegel,31,3300000000,,,,,,
Zhao Yan,55,7200000000,,,,,,
Tom Gores,57,6000000000,,,,,,
Leo Koguan,67,5600000000,,,,,,
Alexei Kuzmichev,59,6600000000,,,,,,
Fredrik Lundberg,70,6000000000,,,,,,
John Morris,74,5400000000,,,,,,
Ivar Tollefsen,60,5700000000,,,,,,
Stephen Bisciotti,62,5800000000,,,,,,
Mahendra Choksi & family,81,5700000000,,,,,,
Jian Jun,58,6600000000,,,,,,
Barry Lam,73,5300000000,,,,,,
Michael Moritz,67,5300000000,,,,,,
Teh Hong Piow,92,5800000000,,,,,,
Gary Wang,28,5800000000,,,,,,
Andre Esteves,53,6200000000,,,,,,
Joshua Harris,57,5600000000,,,,,,
Rakesh Jhunjhunwala,61,5600000000,,,,,,
Ken Langone,86,5800000000,,,,,,
Ludwig Merckle,57,5600000000,,,,,,
Sandra Ortega Mera,53,5900000000,,,,,,
Terrence Pegula,71,5800000000,,,,,,
Karen Pritzker,64,5700000000,,,,,,
Mitchell Rales,65,5700000000,,,,,,
Wolfgang Reimann,69,5800000000,,,,,,
Matthias Reimann-Andersen,57,5800000000,,,,,,
Stefan Reimann-Andersen,58,5800000000,,,,,,
Renate Reimann-Haas,70,5800000000,,,,,,
Ruan Liping,58,6000000000,,,,,,
Ruan Xueping,50,6000000000,,,,,,
Charles Simonyi,73,5700000000,,,,,,
John A. Sobrato & family,83,5500000000,,,,,,
David Steward,70,5800000000,,,,,,
Radovan Vitek,51,5700000000,,,,,,
Les Wexner & family,84,5700000000,,,,,,
Sam Zell,80,5900000000,,,,,,
Anthony Bamford & family,76,5300000000,,,,,,
Clive Calder,75,5700000000,,,,,,
Frits Goldschmeding,88,5400000000,,,,,,
Ananda Krishnan,84,5100000000,,,,,,
Joe Mansueto,65,5400000000,,,,,,
Odd Reitan & family,70,5400000000,,,,,,
Antony Ressler,60,5600000000,,,,,,
Tang Xiao'ou,54,4900000000,,,,,,
Tse Ping,70,5600000000,,,,,,
Ken Xie,59,5900000000,,,,,,
Tilman Fertitta,64,5700000000,,,,,,
Prajogo Pangestu,78,5500000000,,,,,,
"Edward Roski, Jr.",83,5100000000,,,,,,
Teddy Sagi,50,5500000000,,,,,,
Thomas Straumann,58,4700000000,,,,,,
David Sun,70,5300000000,,,,,,
John Tu,80,5300000000,,,,,,
Erich Wesjohann & family,76,5500000000,,,,,,
Xu Jinfu,58,4300000000,,,,,,
Alexander Abramov,63,6600000000,,,,,,
Neil Bluhm,84,5200000000,,,,,,
Don Hankey,78,5500000000,,,,,,
Jane Lauder,49,5200000000,,,,,,
Gwendolyn Sontheim Meyer,60,5700000000,,,,,,
John Reece,65,5300000000,,,,,,
Eric Smidt,62,5100000000,,,,,,
Viktor Vekselberg,65,5200000000,,,,,,
Ronald Wanek,81,5400000000,,,,,,
Rene Benko,45,5300000000,,,,,,
John Brown,87,5000000000,,,,,,
Chen Zhiping,46,5000000000,,,,,,
